12,8,6,2,2,0,2,6,4
14,2,0,0,2,0,0,6,2
4,0,0,0,2,0,2,8,0
0,2,0,0,2,0,0,8,4
4,0,0,0,4,0,3,6,0
6,2,0,0,2,0,0,6,0
0,2,0,0,0,0,2,4,2
8,2,0,0,3,0,4,8,2
2,0,0,0,2,0,0,16,2
6,4,0,0,4,0,2,6,2
4,2,6,0,9,2,2,4,6
0,0,0,0,3,0,0,4,0
10,2,0,0,8,2,8,10,2
10,0,6,0,8,0,2,6,4
4,0,0,0,10,0,0,0,0
0,2,0,0,10,4,0,0,0
4,2,0,0,5,0,2,8,0
6,0,0,0,5,0,4,6,4
2,0,4,0,6,0,0,6,0
4,0,0,0,5,0,0,6,2
0,0,0,0,0,0,0,4,0
0,0,0,0,4,0,2,3,0
0,0,0,0,4,0,2,6,0
0,0,0,0,2,0,8,4,0
4,0,0,0,6,0,2,2,0
2,0,0,0,0,5,0,4,0
2,0,0,0,2,0,0,8,4
6,0,0,0,4,0,0,6,2
4,2,0,0,4,0,2,9,0
4,2,0,0,6,0,0,10,0
0,2,0,0,6,0,4,7,2
0,0,0,0,8,0,8,8,2
2,0,0,0,2,0,2,0,0
0,0,0,0,1,0,0,0,0
2,0,0,0,10,0,0,2,0
0,0,0,0,2,0,0,6,0
0,0,0,0,4,0,4,0,0
0,0,0,0,0,0,0,0,0
2,0,0,0,4,0,0,4,2
0,4,4,0,6,0,0,6,2
0,0,0,0,2,0,2,4,0
4,2,0,0,2,2,2,4,0
0,0,0,0,2,0,2,2,0
0,0,0,0,0,0,0,2,0
2,2,0,0,2,0,0,4,0
4,0,0,0,0,2,2,4,0
2,0,0,0,2,0,0,0,0
0,0,0,0,6,0,0,2,0
6,2,0,0,4,0,0,4,2
4,0,2,0,0,0,4,4,0
4,0,0,0,2,0,0,6,2
4,0,0,0,2,0,0,4,0
0,0,0,0,0,2,0,8,2
2,2,0,0,3,0,0,8,0
0,0,0,0,2,0,0,2,0
2,0,0,0,0,0,0,6,0
8,2,0,0,4,0,4,6,2
2,0,0,0,4,2,4,6,2
4,0,0,0,4,0,0,4,4
8,0,0,0,4,0,0,6,4
0,0,2,0,3,0,0,4,0
0,0,0,0,4,0,2,2,0
2,0,0,0,4,0,0,4,0
2,0,0,0,2,0,0,2,2
6,0,0,0,2,0,0,4,0
2,0,0,0,6,0,0,8,0
2,0,0,0,2,0,6,0,0
2,0,0,0,4,0,2,4,0
0,0,0,0,4,0,2,2,0
0,2,0,0,2,0,0,2,0
0,0,0,0,4,0,4,2,0
0,0,0,0,2,0,2,2,0
2,2,0,0,2,0,6,4,0
6,2,4,0,2,0,4,4,0
0,4,0,0,4,0,0,6,0
0,0,0,0,2,0,0,6,0
0,0,0,0,0,0,8,6,0
0,0,0,0,0,0,4,4,0
10,2,0,0,6,0,0,6,0
12,0,0,0,2,0,0,12,0
4,0,0,0,2,0,0,4,4
4,2,0,0,2,0,0,6,2
8,0,2,0,8,0,0,2,2
8,0,0,0,2,0,0,4,2
4,4,0,2,2,0,0,6,2
4,2,0,0,0,0,0,6,2
4,0,0,0,2,0,0,6,2
6,4,0,0,0,0,0,6,0
2,0,0,0,6,0,0,4,0
2,2,0,0,4,0,0,4,0
0,0,0,0,2,0,0,6,0
4,4,0,0,10,0,2,8,0
0,0,0,0,4,2,4,10,0
0,0,0,0,6,0,2,8,0
6,2,2,0,8,0,0,4,2
6,0,0,0,10,0,0,6,4
2,8,2,0,6,0,0,8,0
2,2,0,0,2,0,0,4,0
0,2,0,0,8,0,0,4,0
0,0,0,0,6,0,2,6,0
6,0,0,0,4,0,0,2,2
6,2,0,0,4,0,0,0,0
0,0,0,0,6,0,0,2,0
2,0,0,0,6,0,0,4,2
2,0,0,0,8,0,0,4,0
4,0,0,0,2,0,0,4,2
2,0,0,0,4,0,0,4,0
0,0,0,0,4,0,0,6,0
8,0,0,0,9,4,8,4,2
0,0,0,0,5,2,2,6,0
4,2,0,2,4,0,0,0,2
6,0,0,0,6,0,0,4,2
2,0,0,0,2,0,0,3,0
6,0,0,0,4,0,2,4,4
2,6,2,0,0,2,2,6,0
2,0,0,0,2,0,6,4,2
0,0,0,0,0,0,4,6,0
0,0,0,0,0,0,4,8,0
2,0,0,0,4,0,4,8,2
2,4,2,0,2,0,4,7,0
2,2,0,0,2,0,4,6,0
6,0,0,0,8,0,2,4,4
10,6,2,0,2,0,2,6,4
2,6,0,0,2,0,0,8,0
4,0,0,0,0,0,2,10,4
8,2,0,0,4,0,8,2,8
0,0,0,0,2,0,4,4,0
0,0,0,0,4,0,0,4,0
4,2,0,0,2,0,0,4,0
4,6,4,0,2,0,2,6,4
6,4,2,2,2,2,2,5,4
2,0,0,2,2,0,0,2,2
2,0,0,0,2,2,6,5,0
4,0,0,0,2,2,0,2,2
4,2,0,2,4,0,0,6,0
0,0,0,0,3,0,0,6,2
0,0,0,0,2,0,2,6,2
0,0,2,0,8,0,0,10,2
8,2,2,2,2,0,0,10,4
8,6,2,0,0,0,0,10,0
2,0,0,2,0,0,6,4,0
0,0,0,0,0,0,4,4,2
4,2,0,0,2,2,2,3,2
2,0,0,0,4,0,0,2,6
0,2,0,0,2,0,0,6,0
0,0,0,0,2,0,0,6,0
6,2,0,0,9,0,2,6,0
2,0,0,0,5,0,0,2,0
0,0,0,0,0,2,2,5,0
0,0,0,0,5,0,4,4,0
6,0,0,0,4,0,0,8,2
2,0,0,0,6,0,4,4,2
4,2,2,0,4,0,0,5,6
6,2,0,0,4,0,0,6,6
8,0,0,0,0,0,0,4,2
2,0,0,0,0,0,0,5,0
0,0,0,0,2,0,0,8,2
6,0,0,0,2,0,0,6,0
6,0,6,2,4,0,0,4,2
8,0,4,0,2,0,0,4,4
2,0,0,0,4,0,2,4,0
0,0,0,0,4,0,2,4,0
0,0,0,0,0,0,0,4,0
2,2,4,0,2,0,2,2,4
2,2,8,0,2,0,2,6,2
6,2,2,0,2,0,2,4,0
4,0,0,0,8,0,4,4,0
0,2,0,0,0,0,0,4,0
2,0,0,0,6,0,2,3,2
4,0,0,0,3,0,0,4,2
0,2,0,0,8,0,0,6,0
2,2,2,0,5,0,0,4,2
6,2,4,0,2,0,2,6,2
6,0,8,2,4,0,2,4,0
2,0,0,0,8,0,0,4,4
2,0,0,0,2,2,0,4,4
0,2,2,0,8,0,2,10,0
0,0,0,0,4,0,4,8,2
0,0,0,0,2,0,0,2,2
0,0,0,0,4,0,2,2,2
6,4,2,2,2,0,2,6,0
2,2,0,0,2,0,0,6,0
0,0,0,0,4,0,0,4,0
0,0,0,0,6,0,4,2,0
6,0,0,0,0,2,0,6,0
0,0,0,0,0,0,0,4,0
0,2,0,0,2,2,0,6,2
4,4,0,0,2,0,2,6,0
6,0,0,0,0,0,4,7,0
6,4,0,0,3,2,2,4,0
8,10,0,0,2,0,4,2,0
2,2,0,0,2,0,0,2,0
0,2,0,0,0,0,2,8,0
2,6,2,0,8,0,4,4,0
6,6,2,2,2,2,4,8,2
2,0,0,2,0,0,2,4,0
10,4,2,0,6,0,4,4,6
8,4,4,0,8,0,6,6,4
2,0,0,0,0,0,0,6,2
0,0,0,0,0,0,2,6,0
0,2,2,0,0,0,0,2,0
4,2,2,0,0,0,0,6,0
4,0,0,0,6,0,8,4,0
0,0,2,0,2,0,2,6,0
0,0,0,0,9,0,0,2,0
2,0,0,0,6,0,4,4,0
4,4,0,0,4,0,0,1,4
8,4,0,2,4,0,0,6,2
4,4,2,0,8,0,0,4,4
14,6,6,0,7,0,0,6,4
0,0,4,2,6,0,6,6,0
2,0,0,0,2,0,2,4,0
2,4,2,0,2,0,0,2,0
4,6,6,0,4,0,2,0,0
4,6,0,0,13,2,0,2,0
6,2,0,0,4,0,0,2,0
4,10,4,0,2,0,0,4,2
6,2,0,0,4,0,0,6,4
0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,6,2
6,0,0,0,2,0,0,4,0
6,0,0,0,4,0,2,10,0
2,0,0,0,6,0,2,2,4
2,0,0,0,2,0,0,2,0
4,0,0,0,2,0,0,2,0
2,2,0,0,2,0,0,4,0
4,0,0,0,2,0,0,2,0
2,0,0,0,15,0,6,2,0
2,0,0,0,2,0,0,7,0
2,2,0,0,8,0,0,6,4
0,2,0,0,4,0,0,4,0
2,0,0,2,4,0,0,2,0
4,0,0,0,6,0,2,6,0
8,0,2,4,0,0,0,4,2
6,0,2,2,2,0,2,4,2
0,0,0,0,2,0,0,6,0
0,0,0,0,2,0,0,6,2
2,0,0,0,0,0,4,6,2
0,0,0,0,0,0,2,6,0
2,2,4,0,4,0,2,2,2
2,0,0,0,2,0,2,4,0
2,0,0,0,8,0,0,4,0
2,2,2,0,8,0,0,4,2
4,8,2,0,0,0,0,8,4
12,4,0,0,4,0,2,6,2
10,2,2,0,6,0,0,6,4
10,2,0,0,4,0,2,10,2
6,0,0,0,4,0,2,5,2
6,0,0,0,0,0,2,7,0
0,2,0,0,2,0,4,6,0
2,0,0,0,6,0,0,4,2
2,0,0,0,2,2,2,8,2
6,0,0,0,4,0,2,4,2
2,2,0,0,2,0,0,4,0
10,0,0,0,2,0,2,2,8
0,0,0,0,2,0,2,2,2
0,0,0,0,4,0,4,4,0
8,2,6,0,2,0,0,4,0
6,2,2,0,2,0,0,2,0
6,2,2,2,4,6,6,3,4
4,2,4,0,6,2,0,8,0
10,0,0,0,4,0,2,8,6
12,0,0,0,8,0,0,4,2
2,0,0,0,7,0,0,2,0
4,0,0,0,5,0,0,2,0
2,0,0,0,6,0,2,8,2
0,0,0,0,2,0,4,2,0
0,0,0,0,4,0,0,8,4
2,0,0,0,2,0,0,6,6
6,4,0,0,8,0,0,4,2
4,0,0,0,4,0,0,4,4
0,0,0,0,4,0,0,8,4
0,2,0,0,2,0,2,4,4
4,0,2,2,8,0,0,7,2
2,4,0,0,0,0,0,2,2
2,0,0,0,2,0,0,4,0
6,2,0,0,2,0,0,0,2
8,0,0,0,10,0,0,4,4
2,0,0,0,10,0,0,0,2
0,0,0,0,2,0,8,2,0
0,0,0,0,2,0,2,4,0
0,0,0,0,6,0,12,4,0
0,0,0,0,6,0,16,2,0
2,2,2,2,2,0,0,6,4
0,0,2,0,0,0,0,5,0
2,2,0,0,2,0,0,4,0
2,0,0,2,2,0,0,2,0
0,0,0,0,2,3,0,2,2
0,0,0,0,0,0,0,2,0
2,0,0,0,0,5,0,6,2
2,0,0,0,0,0,0,6,0
6,0,0,2,8,0,6,6,2
2,0,0,0,6,0,2,6,4
8,6,0,2,2,2,2,4,4
6,0,0,0,2,0,2,2,4
4,0,0,0,4,0,2,4,2
2,0,0,0,0,0,2,6,2
2,0,0,0,2,0,0,4,0
4,0,0,0,0,0,0,2,0
0,0,0,0,2,0,2,10,0
4,0,0,0,2,0,0,8,0
6,2,2,0,2,0,0,10,4
2,2,6,0,0,0,0,10,0
2,2,0,0,6,0,0,2,0
0,0,0,0,4,0,0,4,0
4,0,0,0,2,0,0,4,2
2,0,0,0,0,0,4,8,0
0,0,0,0,3,0,4,4,0
2,0,0,0,7,0,4,2,0
12,4,0,0,5,0,0,2,4
10,0,0,0,5,0,0,2,6
0,0,0,0,5,0,0,6,0
0,0,0,0,5,0,0,2,0
4,2,0,0,2,0,2,6,2
2,0,8,0,4,2,4,4,0
2,4,0,0,2,0,0,2,0
4,4,2,0,2,0,0,0,0
6,2,0,0,2,0,0,2,0
4,2,0,0,2,0,0,0,0
0,0,0,0,6,0,4,4,0
0,0,0,0,4,0,2,2,0
4,0,0,0,2,0,4,11,2
4,0,0,0,6,0,2,8,4
0,0,0,0,10,0,4,6,0
0,0,0,0,10,0,2,4,0
0,0,0,0,2,0,6,4,0
0,0,0,0,8,0,4,4,0
2,2,0,0,4,0,0,4,2
2,0,0,0,2,0,0,4,2
0,0,0,0,4,0,0,6,0
0,0,0,0,0,0,0,6,0
4,0,0,0,2,0,0,6,0
2,2,0,0,4,0,0,6,0
0,0,0,0,0,0,0,4,0
0,2,0,0,6,0,2,4,0
6,0,2,0,10,2,0,2,2
8,2,0,0,2,0,0,2,2
0,0,0,0,6,0,2,5,2
0,0,0,0,4,0,0,3,0
22,10,4,4,0,0,4,6,8
16,4,8,2,0,0,4,7,4
0,0,0,0,8,0,0,6,0
2,0,0,0,2,0,2,8,0
0,0,0,0,4,0,4,5,2
0,0,2,0,4,0,8,2,0
0,0,0,0,4,0,0,4,0
0,0,0,0,2,0,4,2,2
0,0,0,0,2,0,7,2,0
2,0,0,0,0,0,1,4,0
0,0,0,0,2,0,3,4,0
0,0,0,0,2,0,3,4,0
4,0,0,0,4,0,4,4,2
8,0,0,0,0,0,4,6,4
2,0,0,0,6,0,0,4,2
4,0,0,0,6,0,0,4,6
0,0,0,0,4,0,2,11,0
4,6,0,0,2,0,2,17,0
6,2,0,0,6,0,6,7,0
8,10,0,0,4,0,4,12,2
4,0,8,0,6,0,10,6,0
2,2,0,0,0,0,4,6,0
12,4,6,0,6,0,4,4,2
10,4,4,0,10,0,8,6,2
0,0,0,0,12,0,0,2,6
0,0,2,0,14,0,0,4,4
10,4,4,6,6,0,2,10,6
6,0,0,0,6,0,0,12,2
0,2,0,0,4,0,0,4,4
0,2,0,0,2,0,0,4,4
4,0,0,0,9,0,4,4,2
4,0,0,0,6,0,2,6,4
4,4,0,2,8,0,4,3,2
2,0,0,0,6,0,0,8,4
2,0,0,2,4,4,0,6,2
4,2,0,0,0,2,0,6,2
0,0,0,0,4,0,2,4,0
0,0,0,0,4,0,0,8,0
6,2,0,0,6,0,2,2,4
4,0,0,0,7,0,0,6,2
2,2,2,0,4,0,6,4,6
4,0,0,0,2,0,4,5,2
0,4,0,0,4,0,0,6,0
2,2,0,0,8,0,0,6,0
0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,8,0
16,6,8,0,2,0,6,12,2
2,0,2,0,0,0,0,8,0
1,0,0,2,2,2,2,8,0
0,0,2,0,0,2,3,8,0
8,6,6,0,8,0,0,14,4
4,4,2,0,3,0,2,10,0
4,2,0,0,8,0,4,10,0
8,2,0,0,5,4,4,14,4
2,2,4,2,2,0,0,4,0
4,0,0,0,2,0,0,4,0
2,2,0,0,0,2,4,4,4
4,0,4,0,0,0,2,6,4
8,6,0,0,0,2,4,10,4
0,0,0,0,0,0,0,6,2
0,0,0,0,2,2,0,10,0
0,0,0,0,2,2,0,6,0
0,0,0,0,2,2,4,6,0
2,0,0,0,2,0,0,4,0
0,0,0,0,3,0,0,4,0
2,0,0,0,2,0,0,6,0
0,2,0,0,2,0,0,9,0
0,0,0,0,4,0,0,9,0
6,2,0,2,4,0,0,4,2
4,2,2,0,8,0,2,4,2
2,0,0,2,4,0,2,2,0
4,0,0,0,2,0,2,4,0
2,4,0,0,6,0,2,4,0
2,0,0,0,0,0,0,6,0
8,4,2,0,6,0,0,4,0
8,8,6,0,8,0,0,6,2
6,0,2,0,12,2,2,3,0
4,2,0,0,11,0,4,4,2
0,0,0,0,4,6,2,5,0
0,0,0,0,4,8,0,4,0
2,0,0,0,8,0,5,0,0
0,0,0,0,10,0,4,0,0
2,0,0,0,2,0,2,6,2
2,0,0,0,4,0,0,8,0
2,0,0,0,0,0,4,4,0
2,2,0,0,4,0,4,4,2
8,4,6,0,6,2,4,4,2
6,4,0,0,6,0,0,6,0
2,2,0,0,0,0,0,4,0
4,0,0,0,8,0,0,7,0
0,0,0,0,2,0,0,2,0
0,0,0,0,2,0,0,4,0
2,0,0,0,2,0,0,4,0
4,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,2,0
6,2,0,0,0,0,0,6,2
4,4,2,0,4,0,0,6,6
0,0,0,0,0,2,0,2,0
0,0,0,0,2,2,4,2,0
0,0,0,0,3,0,2,8,0
0,0,0,0,2,0,0,2,0
0,0,0,0,0,0,0,2,0
0,0,0,0,2,0,0,12,0
0,0,0,0,2,0,0,2,0
0,0,0,0,2,0,0,0,0
2,0,0,0,4,0,4,2,0
0,0,0,0,4,0,0,4,0
2,0,0,0,6,0,0,8,2
0,2,0,0,4,0,0,8,0
6,0,4,0,6,2,2,4,2
2,2,2,0,2,0,0,6,0
2,0,0,0,5,0,0,6,2
2,0,0,0,4,0,0,6,2
4,2,0,0,4,0,8,6,2
4,2,0,0,2,0,10,8,2
8,8,10,2,2,6,8,10,4
6,2,0,0,2,4,2,8,0
0,0,0,0,0,0,0,6,0
2,0,0,0,2,0,0,6,0
0,0,0,0,2,0,2,8,0
0,0,0,0,2,0,0,6,0
6,0,0,0,3,2,0,4,0
6,0,0,0,2,0,0,2,0
6,0,8,0,4,0,4,4,0
6,0,2,0,4,0,10,6,0
2,0,0,2,6,0,0,6,2
4,4,0,2,6,0,2,10,4
0,0,0,0,4,0,0,8,0
0,0,0,0,8,0,4,6,0
14,2,0,0,4,2,0,6,4
8,4,0,0,4,0,0,8,2
10,0,0,0,4,2,6,6,2
2,4,0,0,4,2,10,6,2
0,2,0,0,2,0,2,4,0
0,0,0,0,2,0,4,2,0
0,0,0,0,2,2,0,4,2
2,2,0,0,4,0,0,4,4
10,2,6,2,2,0,2,12,4
10,2,6,0,2,0,4,6,4
6,0,0,0,0,0,0,10,2
4,0,0,0,0,0,0,8,2
6,2,0,0,8,0,4,4,0
0,0,0,0,2,0,0,6,0
2,0,0,0,6,0,0,4,0
0,0,0,0,2,0,0,2,0
2,0,0,0,2,0,6,8,0
0,2,0,0,4,0,0,8,0
4,2,0,0,2,0,0,6,6
6,2,0,0,4,0,4,6,6
4,0,0,0,4,2,0,4,0
2,2,0,0,2,0,0,4,0
8,2,0,0,14,0,0,4,2
6,0,0,0,6,0,0,3,2
8,2,4,2,6,0,2,6,4
8,0,0,2,2,0,2,6,2
0,0,0,0,6,0,0,4,0
4,4,0,0,8,0,4,4,0
0,0,0,0,4,0,0,4,0
0,0,0,0,2,0,2,4,0
0,2,0,0,4,0,2,6,0
6,2,0,0,4,0,2,6,0
4,4,0,0,6,0,4,6,2
2,4,0,0,6,0,2,8,0
4,0,0,0,5,0,10,0,2
2,0,0,0,3,0,6,2,2
2,2,0,0,6,0,2,2,0
6,4,0,0,4,0,4,0,0
10,2,0,0,0,0,0,4,4
6,2,0,2,2,4,0,6,4
12,8,0,0,2,0,0,8,6
10,4,0,0,2,0,0,8,2
0,0,0,0,2,0,0,8,0
2,0,0,0,0,2,0,8,0
0,0,0,0,0,0,0,4,0
4,0,2,0,4,0,0,0,4
0,0,0,0,0,0,8,2,0
0,0,0,0,4,0,2,2,0
6,2,0,0,6,4,6,4,4
4,6,0,0,2,0,2,4,4
0,0,2,2,6,0,0,10,0
6,0,2,0,4,0,0,4,0
10,6,6,0,14,0,0,6,2
6,4,2,0,4,0,2,2,2
0,0,0,0,6,0,4,4,0
0,0,0,0,4,2,2,4,0
0,0,0,0,4,2,0,6,0
0,0,0,0,2,0,0,8,0
6,2,2,0,5,0,0,6,2
6,0,0,0,4,0,0,9,2
2,0,2,0,4,0,0,4,0
2,0,0,0,8,0,0,4,0
6,4,2,0,4,0,0,4,6
2,0,0,0,2,0,0,4,6
8,2,4,0,6,0,0,4,6
2,2,0,0,4,2,0,4,2
2,0,0,2,8,0,0,10,0
0,0,0,0,0,0,0,6,0
2,0,0,0,8,0,0,6,0
2,0,0,0,2,0,0,6,0
14,0,0,0,2,0,0,4,0
0,0,0,0,10,0,0,2,0
0,2,0,0,4,0,0,7,4
6,0,0,0,4,0,2,11,4
2,4,2,0,8,0,0,8,2
2,0,0,0,4,0,0,6,2
2,0,0,0,6,0,0,10,2
4,0,0,0,4,0,0,8,0
4,0,0,0,6,0,0,8,0
2,2,0,0,6,0,2,6,2
2,0,0,0,2,0,0,2,2
4,0,0,0,4,0,0,2,2
12,0,0,0,0,0,0,4,6
10,6,4,0,6,0,0,4,2
0,0,0,2,0,0,2,10,0
4,0,2,0,4,0,0,4,2
6,0,0,0,6,0,0,6,0
6,0,0,0,6,0,0,4,2
0,0,0,0,4,0,0,4,0
0,0,0,0,4,0,0,4,0
6,6,2,4,2,0,0,8,0
6,6,10,2,6,0,2,6,8
0,0,0,0,0,0,2,6,0
0,0,0,0,8,0,0,6,0
0,0,0,0,2,0,0,6,0
4,2,0,0,6,0,0,6,0
0,0,0,0,0,0,4,8,0
2,0,0,0,2,0,12,8,0
2,2,2,2,4,0,0,6,2
2,0,4,2,2,0,0,8,2
2,0,0,0,8,0,0,2,0
6,0,0,0,6,0,0,2,4
8,4,4,0,4,0,0,4,0
10,2,0,2,4,0,0,6,4
8,6,8,0,4,0,4,4,4
8,2,4,0,4,0,2,8,4
2,0,0,0,6,0,4,4,0
2,0,0,0,7,0,4,6,0
6,2,0,0,0,0,14,2,0
4,0,0,0,0,0,8,6,0
0,0,0,0,6,4,0,4,0
0,0,0,0,2,0,2,4,0
0,0,0,0,2,0,2,4,0
0,0,2,0,4,0,0,5,0
6,0,0,0,8,0,0,6,6
0,0,0,0,0,0,0,2,0
0,0,0,0,6,0,0,6,0
0,0,0,0,8,0,0,2,0
8,2,0,0,2,4,2,10,10
10,2,2,0,2,0,0,13,6
0,0,0,0,0,0,8,0,0
0,0,0,0,4,0,2,2,0
4,2,0,0,2,0,0,4,0
12,0,0,0,10,0,0,4,4
4,0,0,0,2,0,0,2,0
4,0,0,0,0,0,0,3,0
4,0,0,2,3,0,0,2,2
2,0,0,0,2,0,2,4,0
6,2,0,2,2,0,2,4,6
10,2,0,0,2,0,4,8,4
4,2,0,0,4,2,4,2,0
4,2,0,0,4,0,2,0,0
2,0,0,0,4,2,0,6,2
4,6,0,0,4,4,4,6,4
2,0,0,0,2,0,2,6,6
4,0,0,0,2,0,0,2,2
2,0,0,0,2,0,0,4,0
0,0,0,0,0,0,0,0,0
4,0,0,0,2,0,2,6,0
2,0,2,0,0,0,2,8,0
0,4,0,0,2,4,2,4,0
0,0,0,0,0,0,0,8,0
2,0,2,0,6,6,0,6,4
4,2,0,0,8,0,0,4,4
2,0,0,0,2,0,0,6,2
2,2,0,0,2,0,0,6,2
0,0,0,0,2,0,0,6,0
0,0,0,0,8,0,0,4,0
2,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,8,0
2,0,0,0,6,0,0,10,0
2,2,0,0,10,0,0,10,0
12,6,10,0,8,0,0,6,8
14,2,0,2,6,0,0,8,6
0,0,0,0,6,0,0,8,0
0,2,0,0,6,0,0,10,0
4,2,0,0,2,0,0,6,0
0,0,0,0,4,0,0,2,0
2,2,0,0,4,0,0,2,0
0,0,0,0,2,0,0,5,0
2,4,2,0,5,0,2,4,0
6,2,4,0,6,0,0,8,0
10,0,0,0,0,0,2,6,2
4,0,0,0,1,0,0,6,0
4,0,0,0,6,0,0,4,2
2,0,0,0,6,0,2,6,0
6,0,0,0,8,0,0,6,2
4,2,4,2,4,0,0,8,0
0,2,0,0,2,0,4,6,4
2,0,0,0,4,0,2,4,0
2,4,0,0,2,2,0,6,2
2,2,2,0,4,6,4,2,4
0,0,0,0,2,0,4,4,2
0,0,0,0,2,0,0,6,0
4,0,4,2,6,0,4,8,4
6,2,0,4,10,0,0,6,2
2,0,0,0,2,0,0,4,0
4,0,0,0,2,0,2,4,0
4,0,0,0,2,0,0,4,4
4,0,0,0,4,0,0,4,0
2,0,2,0,2,2,0,0,0
2,0,2,0,2,0,0,6,0
6,0,0,2,6,0,4,4,4
0,4,0,0,2,0,2,10,2
0,4,2,0,0,0,8,8,2
0,2,0,0,2,0,0,8,2
4,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,4,0
0,0,0,0,2,0,6,4,0
0,0,0,0,0,0,6,2,0
10,2,0,0,4,2,4,6,2
8,0,0,0,6,0,3,6,0
2,4,0,0,0,0,4,6,0
10,4,2,0,2,0,0,6,4
0,2,0,0,2,0,2,4,0
0,0,0,0,4,0,2,4,0
0,2,0,0,5,0,4,2,0
0,2,0,0,5,0,2,4,0
0,0,0,0,4,0,0,2,0
0,0,0,0,4,0,0,2,0
0,0,0,0,8,0,4,2,0
0,0,0,0,4,0,6,2,0
0,0,0,0,0,0,0,4,0
0,0,0,0,1,0,0,4,0
0,0,0,0,4,0,2,6,0
0,2,6,0,8,0,2,7,0
0,0,0,0,2,0,2,6,0
4,0,0,0,2,0,0,4,0
0,0,0,0,2,0,0,4,0
0,0,0,0,0,0,0,4,0
2,2,0,0,2,0,0,6,2
0,0,0,0,0,0,0,2,0
4,0,0,0,8,0,0,6,0
2,0,0,0,8,0,0,4,0
2,0,0,0,6,0,0,0,2
2,2,0,0,4,0,0,0,0
4,4,0,0,0,0,0,4,4
2,4,0,0,0,0,2,4,6
0,0,0,0,0,0,2,4,0
2,0,0,0,0,0,4,2,0
10,0,2,0,2,0,2,10,0
6,2,2,0,6,0,0,6,2
6,0,0,0,2,0,0,6,0
6,2,6,0,2,0,6,4,0
2,0,0,0,2,0,0,8,0
4,0,0,0,2,0,0,8,0
0,0,0,0,1,0,0,2,0
0,0,0,0,0,0,0,2,0
0,0,0,0,4,0,0,6,0
0,0,0,0,0,0,0,4,0
2,0,0,0,4,0,2,2,0
2,0,0,0,2,0,0,2,0
2,0,0,0,2,0,0,4,0
2,0,0,0,2,0,0,0,0
2,0,0,0,4,0,0,4,2
2,0,0,2,4,0,0,4,0
0,0,0,0,4,0,0,2,0
0,0,0,0,4,0,0,4,0
4,0,2,0,4,0,0,2,6
8,4,0,0,6,0,0,2,4
2,0,0,0,4,0,0,3,2
2,2,0,0,4,0,4,2,2
0,0,0,2,0,0,2,3,0
0,0,0,0,2,0,0,4,0
8,4,6,0,4,0,0,8,8
14,2,4,0,2,0,0,6,10
0,0,0,0,4,0,0,2,0
0,0,0,0,4,0,0,6,0
6,2,2,0,2,0,2,4,6
2,2,0,0,4,2,0,8,2
4,2,0,0,0,0,0,6,4
4,2,0,0,4,0,0,6,6
0,0,0,0,8,0,0,8,0
0,0,0,0,6,0,0,6,0
0,0,0,0,2,0,0,2,0
0,0,0,0,4,0,0,6,0
0,0,0,0,6,0,4,2,0
2,0,0,0,4,0,2,4,0
0,0,0,2,6,0,2,2,2
2,0,0,0,2,0,0,4,0
6,0,0,0,1,0,0,2,0
8,0,0,0,8,0,0,2,0
4,0,0,0,4,0,0,4,0
4,0,0,0,3,0,0,2,0
10,2,0,2,4,0,2,10,4
6,2,4,0,6,0,0,8,4
4,0,4,2,0,2,0,8,0
0,0,0,0,5,2,4,2,0
2,0,0,0,0,0,6,4,2
4,0,0,0,4,0,4,4,0
2,2,2,0,6,0,0,10,2
6,6,8,4,14,0,0,12,2
10,0,0,0,14,0,12,10,4
4,0,0,0,10,0,0,8,2
18,4,0,0,6,0,0,4,6
10,6,6,4,6,0,0,6,6
4,4,0,0,4,0,0,6,6
8,4,0,2,4,0,0,6,6
4,0,0,0,8,0,0,6,0
0,0,0,0,4,0,0,4,0
10,4,0,0,8,0,0,2,2
8,0,2,0,8,0,0,6,2
8,2,0,0,8,0,0,6,0
0,0,0,0,6,0,0,4,0
0,0,0,0,3,0,2,6,0
2,0,0,0,2,0,0,4,0
0,0,0,0,0,0,2,4,0
0,0,0,0,2,0,0,6,0
0,0,0,0,2,0,0,8,0
0,0,0,0,0,0,6,2,0
0,0,0,0,0,0,0,6,0
0,0,0,0,4,0,0,4,0
2,0,0,0,2,0,0,4,0
0,0,0,0,0,0,0,4,0
8,0,0,0,6,0,0,4,0
8,0,0,0,2,0,0,6,0
0,0,0,0,5,0,0,6,0
2,0,0,0,2,0,0,6,0
2,4,0,0,4,0,0,4,2
2,0,0,0,7,0,0,4,2
4,0,4,2,4,0,0,6,0
4,0,0,0,2,0,0,6,0
6,0,0,0,6,0,6,6,6
4,2,0,0,2,0,0,4,2
4,0,0,0,2,0,0,6,2
0,0,0,0,2,0,0,8,2
0,0,0,0,0,0,0,2,0
